pop,emp,emp_to_pop_ratio,hc,ccon,cda,cn,ck,ctfp,cwtfp,rconna,rdana,rnna,rkna,rtfpna,rwtfpna,labsh,irr,delta,xr,pl_con,pl_da,pl_gdpo,csh_c,csh_i,csh_g,csh_x,csh_m,csh_r,pl_c,pl_i,pl_g,pl_x,pl_m,pl_n,total,excl_energy,energy,metals_minerals,forestry,agriculture,fish,total_change,excl_energy_change,energy_change,metals_minerals_change,forestry_change,agriculture_change,fish_change,growthbucket
28.84962082,6.914297581,0.239666844,1.547767282,99010.17188,131991.375,426543.3438,0.00937374,0.648979425,0.626111448,95642.99219,131823.7031,703953.4375,0.512763619,1.068517685,1.008856535,0.483403444,0.119198628,0.043678686,10.6256361,0.307452083,0.30912292,0.295913756,0.618509114,0.250884116,0.134649411,0.121411256,-0.182028159,0.056574266,0.289767981,0.3141388,0.388683647,0.465633303,0.481975228,0.278864503,327.86,223.05,769.06,268.89,289.58,149.37,876.46,0.264843177,0.012115437,0.717188407,0.09993455,-0.061176852,0.073986195,0.007575845,0
45.72831345,13.623806,0.297929335,2.086036682,316862.6563,374842.3438,804602.25,0.019657943,0.719389796,0.657542825,308969.1563,379569.9063,1669635.625,0.647240102,0.973863304,0.86594218,0.561061502,0.108611055,0.042740334,6.939828396,0.348586202,0.354219735,0.351310313,0.670726597,0.147135794,0.133379981,0.135068387,-0.130605608,0.044294883,0.32361728,0.38500753,0.474147141,0.494095355,0.520164788,0.444091499,327.86,223.05,769.06,268.89,289.58,149.37,876.46,0.264843177,0.012115437,0.717188407,0.09993455,-0.061176852,0.073986195,0.007575845,0
33.262043,13.32381344,0.400571109,1.498782635,29762.87695,36584.99219,67072.59375,0.001670069,0.308651537,0.292606741,36392.96484,43032.3125,161644.3281,0.39997229,0.985717356,0.81663388,0.506037593,0.188335508,0.045847192,800.4085083,0.358320832,0.357803434,0.351029307,0.672994316,0.183976933,0.129642859,0.035280515,-0.087737024,0.065842375,0.368703783,0.355546057,0.304421514,0.5012784,0.487622589,0.350502133,327.86,223.05,769.06,268.89,289.58,149.37,876.46,0.264843177,0.012115437,0.717188407,0.09993455,-0.061176852,0.073986195,0.007575845,0
8.02570343,3.868999958,0.482076119,1.356150866,6488.692871,7006.969727,5790.396973,0.000184122,0.205865011,0.234643295,7096.825195,7673.087891,10142.19043,0.450354666,0.703341126,0.73073113,0.74101007,0.080583602,0.048115551,389.696228,0.281181127,0.293343246,0.293661714,0.86928314,0.087738194,0.229176283,0.024138223,-0.017928151,-0.192407668,0.292344689,0.44560945,0.238836929,0.470836878,0.511137009,0.402847588,327.86,223.05,769.06,268.89,289.58,149.37,876.46,0.264843177,0.012115437,0.717188407,0.09993455,-0.061176852,0.073986195,0.007575845,0
1.061468005,0.243000001,0.228928239,1.676330209,7620.1875,8419.264648,16907.23633,0.000431469,0.959764898,0.993984818,5540.33252,7002.93457,41003.61719,1.068165183,0.737721264,0.75269568,0.612078846,0.033991098,0.057298772,6.939828396,0.206352666,0.235375479,0.222507849,0.845481694,0.102296531,0.130042002,0.234137088,-0.291399509,-0.020557839,0.200052559,0.51214385,0.24731347,0.487032324,0.482645392,0.398468226,327.86,223.05,769.06,268.89,289.58,149.37,876.46,0.264843177,0.012115437,0.717188407,0.09993455,-0.061176852,0.073986195,0.007575845,0
4.970366955,2.226999998,0.448055449,1.703795314,5893.620117,6921.736328,13102.98828,0.00032628,0.208088189,0.216673553,5945.256348,7349.799805,31103.9043,0.847564459,0.95959723,0.919949174,0.806201458,0.01,0.03019949,711.9762573,0.22492744,0.241298899,0.232987165,0.789053738,0.160959631,0.133638754,0.058745138,-0.10874363,-0.033653624,0.226152793,0.33514744,0.21769242,0.51165694,0.46635738,0.390874147,327.86,223.05,769.06,268.89,289.58,149.37,876.46,0.264843177,0.012115437,0.717188407,0.09993455,-0.061176852,0.073986195,0.007575845,1
11.60794163,4.684147835,0.403529582,1.069451332,11611.43066,13619.13965,20373.24219,0.000480938,0.373559386,0.373652637,11284.04492,12426.49805,26654.00781,0.414980114,0.850377679,0.830406487,0.599852443,0.089186676,0.046962325,711.9762573,0.21625565,0.22316961,0.201229438,0.738973677,0.153458461,0.148541614,0.028176624,-0.119656183,0.050505795,0.203472942,0.263156027,0.279847801,0.498889357,0.462195456,0.30943054,327.86,223.05,769.06,268.89,289.58,149.37,876.46,0.264843177,0.012115437,0.717188407,0.09993455,-0.061176852,0.073986195,0.007575845,0
16.44092369,7.207794666,0.4384057,1.296940804,18216.63867,31415.11328,215671.9375,0.016437851,0.125469387,0.107789844,31842.47656,51165.15625,528826.625,1.212336063,0.429514736,0.406238943,0.284878641,0.054977842,0.06750378,10.04054451,0.493611217,0.331732631,0.347419709,0.277222514,0.375626832,0.241220623,0.591017067,-0.083334252,-0.40175283,0.495396286,0.108306549,0.491559714,0.391756505,0.493560016,0.111271672,327.86,223.05,769.06,268.89,289.58,149.37,876.46,0.264843177,0.012115437,0.717188407,0.09993455,-0.061176852,0.073986195,0.007575845,0
9.699196815,2.757539749,0.28430599,1.872124791,62296.11328,78025.15625,243171.2969,0.005215109,0.770887971,0.720986784,54945.69141,75973.57031,369951.2813,0.628920197,0.960166037,0.939074218,0.513467193,0.106085636,0.051684685,1.370683312,0.26638478,0.283961236,0.267876953,0.628701508,0.196216315,0.148428619,0.162494943,-0.230510712,0.094669335,0.258242875,0.353574157,0.300871521,0.449107945,0.463549823,0.266784102,327.86,223.05,769.06,268.89,289.58,149.37,876.46,0.264843177,0.012115437,0.717188407,0.09993455,-0.061176852,0.073986195,0.007575845,0
122.3520126,39.17399597,0.320174512,1.459426403,56637.38672,63832.07031,153266.375,0.005017034,0.416523665,0.208542302,274032.6875,312979.625,1291938.875,0.630509973,0.611988962,0.595371425,0.254564166,0.158207089,0.036960877,101.6973343,0.774348378,0.809088886,0.608886063,0.431855559,0.05872982,0.030472402,0.550462961,-0.094086953,0.022566179,0.743943095,1.082570434,1.205252767,0.401564598,0.504668176,1.075419545,327.86,223.05,769.06,268.89,289.58,149.37,876.46,0.264843177,0.012115437,0.717188407,0.09993455,-0.061176852,0.073986195,0.007575845,0
